Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
9573,2.77,8882.71,653.1,10.47,4800.9,13317.4,,8244.18,173,34224313
9605,2.94,9435.78,673.9,13.08,4808.7,14146.6,,8510.56,170,34976462
9620,3.15,9587.06,701.3,17.51,4562.3,14373.4,,8632.83,170,35734272
9613,3.07,9530.16,858.4,16.61,4659.2,14288.1,,8409.6,172,36491800
9591,3.1,9508.42,621.8,19.62,4601.3,14255.5,,8638.35,173,37241527
9593,3.07,9549.47,581.5,20.23,4660.8,14317.05,,8722.08,174,37977086
9596,3.03,9422.78,622.22,18.63,4665.7,14127.1,,8552.26,129,38698482
9574,3.04,9096.81,385.94,13.1,4482.8,13638.4,,9244.04,125,39404335
9552,2.91,8782.46,47.8,9.14,4527.3,13167.1,,9065.35,113,40085651
9538,2.92,9208.94,168.2,8.71,4732.4,13806.5,,8501.49,119,40731426
9567,2.94,9319.19,246.64,7.89,4760,13971.8,,9264.52,126,41335199
9554,2.89,8807.2,183.12,8.69,4575,13204.2,,9163.87,127,41890197
9534,2.94,9898.55,212.36,7.04,5056.2,14840.4,,10012.51,141,42401684
9579,3.06,11181.05,295.81,9.01,5486.81,16763.2,,10550.25,151,42890002
9534,3.17,12138.67,958.71,15.18,5742.88,18198.9,,11229.53,164,43383428
9540,2.98,11977.25,367.6,18.87,6032.7,17956.9,,11164.57,177,43901598
9543,3.06,11792.43,115.55,18.22,5768.5,17679.8,0.46,11458.83,189,44452206
9559,3.08,11106.48,28.3,18.6,5408.3,16651.4,1.63,11411.75,201,45027233
9556,3.13,11390.82,120.4,17.98,5458.5,17077.69,0.95,11597.85,128,45611220
9690,3.24,13424.07,54.32,16.83,6210.79,20126.04,6.66,12526.62,155,46181077
9909,3.38,14223.02,251.4,20.76,6302.49,21323.87,10.14,13226.48,196,46719701
9990,3.42,14617.97,1009.61,9.58,6412.54,21916,13,13896.33,182,47225120
9862,3.42,14543.94,978.37,4.29,6381,21805,16,14080.88,162,47702171
9851,3.55,15438.56,468.14,10.31,6527.98,23146.27,9,14433.67,198,48148902
9912,3.82,16634.31,182.23,19.91,6532.82,24939,18,16089.88,246,48564484
10059,3.75,18464.56,213.01,6.52,7384,27683,2.1,17553.09,274,48949924
10336,3.83,20626.31,306.51,9.02,8074,30924,10.5,19455.35,295,49301050
10577,3.93,20977.82,361.86,15.77,8011,31451,3.15,19819.88,363,49621475
10694,4.03,21726.18,685.66,7.61,8077.72,32572.98,81,21456.63,512,49929642
